USI Project Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Boiler Plate - USI data,,,,,,,,,,,Location Data,,Team Data,,,,,Approvals Overview,,,,,,,,Approvals Details,,,,,,
Job Number,In Toronto? ,Name,client,Client Type,Centroid Coordinates,Longitude,Latitude,address,Project Type,Project Focus,Municipality/Jurisdiction,Ward (Toronto),USI Team Members,Principal in Charge,Project Manager,Project Start Date,Project End Date,Complete/Approval Year,Approval type(s),Approval Status,Residential Units,Affordable Units (%),Affordable Units,Max. Non-Residential GFA,Min. Non-Residential GFA,Density,Height (m),Height (st),Site Area (m2),By-Law  Number,Most Recent Report,NOTES
19052,TRUE,125 George Street ,DiamondCorp and Alterra GoC,Real Estate Developers,"(-79.3712680, 43.6527298)",43.6527298,-79.3712680,"125 George Street, Toronto, Ontario",,Residential/Mixed Use,Toronto,13,,,,,,2022,OPA and ZBA,Complete,516,1.36,7,5500,2000,10.6,136,39,3697,"OPA (102-2022), ZBA (103-2022)",109-125 George Street and 231 Richmond Street East – Official Plan and Zoning By-law Amendment Application – Final Report,
21009,TRUE,101 Spadina ,Devron,Real Estate Developers,"(-79.3950061, 43.6464978)",43.6464978,-79.3950061,"101 Spadina Avenue, Toronto, Ontario",,Residential,Toronto,10,"Peter Pantalone, Leigh McGrath",Leigh McGrath,Peter Pantalone,2021,2025,2025,ZBA,Complete,452,0,0,N/A,120,16.1,167,50,2178,757-2025,101-105 Spadina Avenue and 363 Adelaide Street West – Zoning By-law Amendment Application – Decision Report – Approval,
16099,TRUE,10 Price Street (Scrivener Square),Tricon Capital Group and Diamond Corp,Real Estate Developers,"(-79.3902855, 43.6802900)",43.6802900,-79.3902855,"10 Price Street, Toronto, Ontario","Development Approvals, Planning Analysis, OLT Appeal, Urban Design Guidelines",Mixed Use,Toronto,11,"Cyndi Rottenberg-Walker, Leigh McGrath, Josh Kohler",Leigh McGrath,Anne Benaroya,2016,2021,2021,"OPA, ZBA",Complete,127,0,0,3300,N/A,,85.4,21,4450,267-2021,LPAT Report,"USI site says 21 storey building, proposal from 2018 but not publicly available"
20043,TRUE,St Mary,Tenblock,Real Estate Developers,"(-79.3871454, 43.6673132)",43.6673132,-79.3871454,"25 St. Mary Street, Toronto, Ontario",,Residential,Toronto,13,,,,N/A ,2023,2023,"OPA, ZBA, Rental Housing Demolition",Complete,1024,4.88,50,N/A,1010,15.42,204 (w) and 194 (e),59 (w) and 54 (e),5212,"OPA (595-2023), ZBA (596-2023)",25 St. Mary Street – 25 St. Mary Street,Projected to set up at least 50 net new replacement affordable rental housing --  think its minimum 16 but im not sure (its in the report)
20061,TRUE,155 Antibes,Tenblock,Real Estate Developers,"(-79.4458818, 43.7821101)",43.7821101,-79.4458818,"155 Antibes Drive, Toronto, Ontario",,Residential,Toronto,6,"Emily Reisman, Christine Fang-Denissov",,,N/A ,2024,2024,ZBA,Complete,1151,0,0,900,N/A,4.46,"115 (a), 103 (b), 35 (c), 50 (d)","36 (a), 32 (b), 8 (c)",19014,879-2024,155 Antibes Dr – Zoning By-law Amendment Application – Decision Report - Approval,no affordable housing mentions anywhere? also need to confirm if building d is the old building
18000,TRUE,Downsivew Secondary Plan,Northcrest Developments and Canada Lands Company,Federal Crown corporation,"(-79.4723534, 43.7464712)",43.7464712,-79.4723534,Downsview Area,Master Plan,Mixed Use,Toronto,6,"Michel Trocme, Frank Lewinberg, Emily Reisman, Christine Fang-Denissov, Lauren Haein An, Andrew Toth, Harshitha Damodaran, Aya Almaddah, Mona Han, Ning Lin, Samuel Lozeau",,,2018,Ongoing,2024,OPA and ZBA,Complete,,,,,,,,,,ZBA (707-2024),"Update Downsview: Secondary Plan, Zoning By-law, Urban Design Guidelines and Master Environmental Servicing Plan - Final Report",how to represent entire area for this ??
05037-5 ,TRUE,1100 Sheppard Avenue West,CentreCourt ,Real Estate Developers,"(-79.4664465, 43.7517928)",43.7517928,-79.4664465,"1100 Sheppard Avenue, Toronto, Ontario",Master Planning,Mixed Use,Toronto,6,Emily Reisman,,,N/A ,2020,2020,OPA and ZBA,Complete,392,0,0,0,0,3.4,45.7,14,4058,"OPA (520-2020), ZBA (521-2020)","«PropAdd1»[Include ALL applicable addresses] – [Official Plan Amendment, Zoning Amendment, Subdivision, [Common Elements] [Vacant Land] Condominium] Application[",
17089,TRUE,250 Dundas (two ZBA applications),Dream Unlimited,Real Estate Developers,"(-79.3896418, 43.6548650)",43.6548650,-79.3896418,"250 Dundas Street West, Toronto, Ontario",,Mixed Use,Toronto,11,"Benjamin Hoff, Inger Squires",Inger Squires,Kiera McMaster,N/A ,Ongoing,2025,OPA and ZBA,Complete,719,2.64,19,N/A,250,19.12,188.25,57,2339,not updated yet -- has been approved,250 Dundas Street West – Official Plan and Zoning By-law Amendment Application – Decision Report – Approval,"by-law has not been published, but it has been approved already in linked report"
20012,TRUE,75 Hanna/Liberty Yards,First Capital Realty (FCR),Real Estate Developers,"(-79.4189436, 43.6399793)",43.6399793,-79.4189436,"75 Hanna Avenue, Toronto, Ontario","Master Planning, Approvals",Mixed Use,Toronto,10,"Cyndi Rottenberg-Walker, Inger Squires, Michel Trocme, Anne Benaroya",Inger Squires,Samantha Anderson,2020,2024,2023,ZBA,Complete,963,3.01,29,N/A,N/A,6.85,17.7 + 113.25 (w) and 125 (e),3 + 32(w) and 36 (e),12129,873-2024,"«PropAdd1»[Include ALL applicable addresses] – [Official Plan Amendment, Zoning Amendment, Subdivision, [Common Elements] [Vacant Land] Condominium] Application[",
19001,TRUE,Union Park (315-325 Front St W) (two ZBA applications) ,Oxford Properties Group,Real Estate Developers,"(-79.3891230, 43.6433640)",43.6433640,-79.3891230,"315 Front Street West, Toronto, Ontario",Development Approvals,Residential/Mixed Use,Toronto,10,Cyndi Rottenberg-Walker,Josh Neubauer,Matthew Whittier,2019,Ongoing,2025,ZBA,Complete,1793,2.67,48,N/A,N/A,17.7,"168, 168, 235, 278","50 (r1), 50 (r2), 71 (r3), 60 (o)",16393,not updated yet -- has been approved,Revised - 315-325 Front Street West – Zoning By-law Amendment Application – Decision Report – Approval,consider making this a multipoint or multipolygon data point
19001,TRUE,Union Park (315-325 Front St W) (two ZBA applications) ,Oxford Properties Group,Real Estate Developers,"(-79.3902670, 43.6432270)",43.6432270,-79.3902670,"325 Front Street West, Toronto, Ontario",Development Approvals,Residential/Mixed Use,Toronto,10,Cyndi Rottenberg-Walker,Josh Neubauer,Matthew Whittier,2019,Ongoing,2025,ZBA,Complete,1793,2.67,48,N/A,N/A,17.7,"168, 168, 235, 278","50 (r1), 50 (r2), 71 (r3), 60 (o)",16393,not updated yet -- has been approved,Revised - 315-325 Front Street West – Zoning By-law Amendment Application – Decision Report – Approval,consider making this a multipoint or multipolygon data point
14081,TRUE,2150 Lakeshore - Christie Cookies Site,"First Capital Realty, Pemberton, Lakeshore Development Inc",Real Estate Developers,"(-79.4799725, 43.6267741)",43.6267741,-79.4799725,"2150 Lakeshore Boulevard West, Toronto, Ontario","Master Planning, Development Approvals, Planning Analysis, Due Diligence Study",Mixed Use,Toronto,3,"Cyndi Rottenberg-Walker , Josh Kohler , Michel Trocme , Yiwen Zhu , Lauren Haein An , Aya Almaddah",Cyndi Rottenberg-Walker,Josh Kohler,2014,Ongoing,2021,Secondary Plan and ZBA,Complete ?,,,,,,,,15 new towers 28-70,,"only report, no bylaw ? ",Final Report - Christie's Planning Study – City-Initiated Secondary Plan & Zoning By-law and Urban Design and Streetscape Guidelines,"no concrete numbers for affordable housing, estimated to go up to 1500 affordable housing units"
??? (archived),TRUE,64 Prince Arthur Avenue,64 Prince Arthur Limited Partnership,Real Estate Developers,"(-79.3993584, 43.6692702)",43.6692702,-79.3993584,"64 Prince Arthur Avenue, Toronto, Ontario",,Mixed Use,Toronto,11,,,,,,2023,ZBA,Complete,94,0,0,36,,5.47,43,13,1211,1144-2023,64 Prince Arthur Avenue – Zoning By-law Amendment Application – Decision Report – Approval,"no site, radio silence since 2023, who worked on this project there have been additional applications since 2023??"
22005,TRUE, OGDC St Dennis,Osmington Gerofsky Development Corp,Real Estate Developers,"(-79.3362448, 43.7160963)",43.7160963,-79.3362448,"7 St Dennis Drive, Toronto, Ontario","Development Approvals, Planning Analysis",Residential,Toronto,16,Benjamin Hoff,Benjamin Hoff,Lauren Haein An,2022,2025,2024,OPA and ZBA,Complete,2536,0,0,N/A,N/A,7.87,"174 (a), 162 (b), 135 (c), 153 (d)","53, 49, 40, 46",38807,"ZBA (49-2025), OPA(50-2025)",7 St Dennis Drive & 10 Grenoble Drive – Official Plan Amendment and Zoning Amendment – Decision Report – Approval,done !!
